Period,MP Market Price,PrivateStudents
2005.0,289.01264444444416,3608
2006.0,256.8810160427807,3872
2007.0,319.2557142857142,4237
2008.0,291.8117098445595,5014
2009.0,256.52850000000007,5829
2010.0,332.57575000000014,6301
2011.0,378.3748214285714,7060
2012.0,305.1656089743591,7316
2013.0,382.35401234567905,8086
2014.0,353.22856287425145,9287
2015.0,312.32474522292983,10202
2016.0,329.9179934210525,12201
2017.0,501.99125000000004,13530
2018.0,505.46191588785035,14446
